item_num,DWA_ID,claude_vote,gemini_vote,gpt_vote,final_choice,status
380,4.A.4.b.3.I06.D04,A,D,D,D,2/3 consensus
381,4.A.3.a.2.I43.D02,B,A,B,B,2/3 consensus
382,4.A.1.a.1.I23.D01,C,C,D,C,2/3 consensus
383,4.A.3.b.4.I04.D03,C,C,D,C,2/3 consensus
384,4.A.1.b.2.I04.D04,C,C,D,C,2/3 consensus
385,4.A.2.b.1.I11.D01,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
386,4.A.3.a.2.I04.D12,B,B,D,B,2/3 consensus
387,4.A.2.b.1.I01.D05,A,C,B,CONFLICT,1:1:1 conflict -- needs human review
388,4.A.3.b.6.I09.D05,C,C,C,C,3/3 consensus
389,4.A.4.b.4.I09.D02,D,B,D,D,2/3 consensus
390,4.A.3.a.2.I14.D01,B,B,B,B,3/3 consensus
391,4.A.1.a.2.I05.D02,A,B,D,CONFLICT,1:1:1 conflict -- needs human review
392,4.A.4.a.5.I01.D01,D,A,D,D,2/3 consensus
393,4.A.2.a.4.I06.D05,A,A,D,A,2/3 consensus
394,4.A.4.c.1.I05.D04,A,D,D,D,2/3 consensus
395,4.A.4.a.2.I08.D09,C,A,C,C,2/3 consensus
396,4.A.2.b.5.I03.D02,D,A,D,D,2/3 consensus
397,4.A.4.b.4.I13.D05,A,C,A,A,2/3 consensus
398,4.A.3.b.1.I06.D11,C,D,D,D,2/3 consensus
399,4.A.2.b.2.I01.D01,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
400,4.A.1.a.2.I05.D06,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
401,4.A.3.a.2.I31.D02,A,A,D,A,2/3 consensus
402,4.A.1.a.1.I20.D06,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
403,4.A.2.b.6.I02.D08,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
404,4.A.1.b.3.I01.D14,C,B,A,CONFLICT,1:1:1 conflict -- needs human review
405,4.A.3.a.2.I42.D04,C,D,D,D,2/3 consensus
406,4.A.3.a.1.I16.D03,C,C,D,C,2/3 consensus
407,4.A.3.b.6.I14.D03,C,C,D,C,2/3 consensus
408,4.A.4.a.2.I06.D01,C,D,D,D,2/3 consensus
409,4.A.3.a.2.I42.D03,C,C,D,C,2/3 consensus
410,4.A.2.a.4.I07.D17,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
411,4.A.3.a.2.I40.D03,A,B,D,CONFLICT,1:1:1 conflict -- needs human review
412,4.A.1.a.2.I02.D20,C,C,C,C,3/3 consensus
413,4.A.3.a.2.I42.D01,D,D,D,D,3/3 consensus
414,4.A.4.c.1.I03.D02,A,C,A,A,2/3 consensus
415,4.A.3.a.2.I34.D04,C,D,D,D,2/3 consensus
416,4.A.4.c.1.I01.D07,D,C,D,D,2/3 consensus
417,4.A.2.b.1.I01.D07,D,C,D,D,2/3 consensus
418,4.A.4.a.1.I03.D02,C,C,D,C,2/3 consensus
419,4.A.3.a.3.I04.D01,A,A,A,A,3/3 consensus
420,4.A.2.a.4.I07.D01,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
421,4.A.4.a.1.I04.D02,C,C,D,C,2/3 consensus
422,4.A.2.b.2.I24.D01,D,A,D,D,2/3 consensus
423,4.A.3.a.1.I07.D07,D,A,D,D,2/3 consensus
424,4.A.1.b.2.I12.D05,D,C,D,D,2/3 consensus
425,4.A.3.a.1.I05.D05,D,D,D,D,3/3 consensus
426,4.A.1.a.2.I01.D08,D,A,D,D,2/3 consensus
427,4.A.4.a.5.I09.D07,D,D,A,D,2/3 consensus
428,4.A.1.a.2.I11.D06,C,C,D,C,2/3 consensus
429,4.A.3.b.6.I08.D13,C,C,D,C,2/3 consensus
430,4.A.3.b.6.I03.D03,B,D,B,B,2/3 consensus
431,4.A.3.b.4.I06.D03,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
432,4.A.1.a.1.I13.D03,C,B,C,C,2/3 consensus
433,4.A.3.a.2.I12.D01,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
434,4.A.1.a.2.I01.D13,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
435,4.A.2.b.5.I01.D01,A,A,A,A,3/3 consensus
436,4.A.4.c.2.I01.D02,C,C,D,C,2/3 consensus
437,4.A.2.a.3.I01.D08,C,C,A,C,2/3 consensus
438,4.A.3.a.2.I39.D04,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
439,4.A.3.a.3.I11.D04,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
440,4.A.4.a.3.I03.D10,D,D,D,D,3/3 consensus
441,4.A.3.a.2.I22.D09,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
442,4.A.1.b.2.I07.D05,C,C,C,C,3/3 consensus
443,4.A.4.a.2.I08.D04,C,C,D,C,2/3 consensus
444,4.A.4.a.2.I06.D02,D,C,D,D,2/3 consensus
445,4.A.4.b.6.I09.D01,D,C,D,D,2/3 consensus
446,4.A.3.b.6.I12.D03,A,A,D,A,2/3 consensus
447,4.A.1.b.2.I10.D08,C,C,D,C,2/3 consensus
448,4.A.2.a.2.I01.D06,C,C,D,C,2/3 consensus
449,4.A.2.a.4.I09.D04,C,C,D,C,2/3 consensus
450,4.A.1.a.2.I06.D05,C,C,C,C,3/3 consensus
451,4.A.4.a.2.I08.D01,C,D,D,D,2/3 consensus
452,4.A.3.a.2.I03.D06,C,C,D,C,2/3 consensus
453,4.A.4.c.3.I06.D04,D,A,D,D,2/3 consensus
454,4.A.3.a.1.I03.D13,A,C,A,A,2/3 consensus
455,4.A.1.a.2.I10.D01,B,B,B,B,3/3 consensus
456,4.A.2.b.2.I18.D05,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
457,4.A.3.a.2.I34.D07,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
458,4.A.3.a.3.I06.D07,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
459,4.A.1.b.2.I06.D14,A,B,C,CONFLICT,1:1:1 conflict -- needs human review
460,4.A.3.a.2.I29.D01,A,D,D,D,2/3 consensus
461,4.A.3.a.2.I46.D11,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
462,4.A.2.b.2.I16.D06,C,B,D,CONFLICT,1:1:1 conflict -- needs human review
463,4.A.1.b.2.I06.D08,C,C,D,C,2/3 consensus
464,4.A.3.a.3.I07.D01,A,A,D,A,2/3 consensus
465,4.A.3.b.6.I08.D22,C,C,C,C,3/3 consensus
466,4.A.1.a.2.I11.D09,D,A,D,D,2/3 consensus
467,4.A.3.b.4.I08.D02,D,A,D,D,2/3 consensus
468,4.A.1.b.2.I05.D11,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
469,4.A.3.b.6.I08.D07,B,C,B,B,2/3 consensus
470,4.A.3.b.1.I01.D03,D,D,D,D,3/3 consensus
471,4.A.3.a.1.I17.D04,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
472,4.A.2.b.2.I12.D01,D,D,D,D,3/3 consensus
473,4.A.4.a.2.I03.D03,C,C,C,C,3/3 consensus
474,4.A.2.b.2.I09.D01,C,C,C,C,3/3 consensus
475,4.A.1.a.2.I04.D01,D,D,D,D,3/3 consensus
476,4.A.3.a.2.I39.D01,A,C,A,A,2/3 consensus
477,4.A.4.b.6.I08.D01,C,C,C,C,3/3 consensus
478,4.A.2.b.2.I02.D07,C,C,D,C,2/3 consensus
479,4.A.4.b.4.I11.D05,A,A,D,A,2/3 consensus
480,4.A.1.a.2.I01.D12,A,A,D,A,2/3 consensus
481,4.A.2.b.4.I01.D03,A,A,D,A,2/3 consensus
482,4.A.4.a.2.I03.D11,C,C,C,C,3/3 consensus
483,4.A.4.b.3.I02.D09,A,D,D,D,2/3 consensus
484,4.A.4.a.2.I04.D05,C,C,C,C,3/3 consensus
485,4.A.4.a.2.I03.D19,D,C,D,D,2/3 consensus
486,4.A.3.a.3.I05.D03,D,D,D,D,3/3 consensus
487,4.A.3.a.1.I08.D03,A,A,A,A,3/3 consensus
488,4.A.4.b.6.I01.D01,C,D,C,C,2/3 consensus
489,4.A.1.a.1.I11.D01,D,C,D,D,2/3 consensus
490,4.A.1.a.2.I02.D14,D,A,D,D,2/3 consensus
491,4.A.3.a.2.I46.D09,C,A,C,C,2/3 consensus
492,4.A.1.b.2.I11.D02,D,D,D,D,3/3 consensus
493,4.A.2.a.4.I11.D06,A,A,A,A,3/3 consensus
494,4.A.4.c.3.I01.D06,C,C,D,C,2/3 consensus
495,4.A.2.b.2.I11.D03,D,A,D,D,2/3 consensus
496,4.A.4.b.6.I01.D05,D,D,D,D,3/3 consensus
497,4.A.2.b.2.I15.D11,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
498,4.A.3.a.1.I03.D23,A,A,D,A,2/3 consensus
499,4.A.3.b.4.I08.D03,D,D,D,D,3/3 consensus
500,4.A.2.b.5.I01.D02,A,A,D,A,2/3 consensus
501,4.A.3.b.1.I03.D04,A,A,D,A,2/3 consensus
502,4.A.3.a.3.I07.D06,C,C,D,C,2/3 consensus
