DWA_ID,step_order,action_description,mapped_stage,cognitive_or_physical,cluster_id,intelligence_type,confidence,conf_LLM,conf_Multimodal_Perception,conf_Embodied,conf_Human_Bound
4.A.2.b.5.I02.D06,7,"Prepare and distribute necessary documentation (e.g., work orders, safety guidelines) to the maintenance teams.",Manipulation_Execution,Physical,30,LLM,0.8802,0.8802,0.0542,0.0428,0.0227
4.A.2.b.4.I03.D08,1,"Conduct a kickoff meeting with stakeholders to understand their needs, expectations, and concerns regarding the CRM system.",Intent_Communication,Cognitive,29,LLM,0.9822,0.9822,0.0008,0.0003,0.0167
4.A.2.b.4.I03.D08,2,Analyze the CRM system's features and functionalities to identify those most relevant to the corporation's needs.,Perception_Diagnosis,Cognitive,-1,LLM,0.9958,0.9958,0.0021,0.0002,0.0019
4.A.2.b.4.I03.D08,3,"Develop a high-level implementation plan, including timelines, milestones, and resource allocation.",Manipulation_Execution,Cognitive,29,LLM,0.9974,0.9974,0.0,0.0004,0.0022
4.A.2.b.4.I03.D08,4,"Create detailed, step-by-step implementation guidelines tailored to each regional office, considering their unique needs and constraints.",Manipulation_Execution,Cognitive,29,LLM,0.9927,0.9927,1e-04,0.0008,0.0064
4.A.2.b.4.I03.D08,5,Conduct pilot tests of the implementation guidelines in a controlled environment to identify any potential issues.,Feedback_Verification,Physical,-1,LLM,0.93,0.93,0.0439,0.0013,0.0248
4.A.2.b.4.I03.D08,6,Gather feedback from stakeholders involved in the pilot tests and revise the guidelines accordingly.,Feedback_Verification,Cognitive,29,LLM,0.9323,0.9323,0.0017,0.0003,0.0657
4.A.2.b.4.I03.D08,7,Finalize the implementation guidelines and prepare them for distribution to all regional offices.,Feedback_Verification,Physical,29,LLM,0.9623,0.9623,0.001,0.0109,0.0259
4.A.2.b.1.I04.D03,1,"Review existing production line documentation, process flowcharts, and product specifications to understand current operational methods and challenges.",Intent_Communication,Cognitive,-1,LLM,0.7907,0.7907,0.2017,0.0061,0.0016
4.A.2.b.1.I04.D03,2,"Conduct a site visit to observe the production line in operation, identifying visible inefficiencies and potential hazards.",Navigation_Addressing,Physical,-1,LLM,0.5781,0.5781,0.4164,0.0036,0.002
4.A.2.b.1.I04.D03,3,"Collect data on production line performance metrics (throughput rates, downtime occurrences, quality control records, worker safety reports).",Perception_Diagnosis,Physical,-1,LLM,0.8861,0.8861,0.1126,0.0008,0.0006
4.A.2.b.1.I04.D03,4,"Analyze collected data to identify patterns, bottlenecks, and potential areas for improvement in operational efficiency and safety.",Perception_Diagnosis,Cognitive,17,LLM,0.9866,0.9866,0.0128,0.0002,0.0003
4.A.2.b.1.I04.D03,5,"Research and evaluate potential new operational methods, considering industry best practices, technological advancements, and ergonomic principles.",Navigation_Addressing,Cognitive,-1,LLM,0.6576,0.6576,0.3258,0.0095,0.0072
4.A.2.b.1.I04.D03,6,"Develop a detailed plan for implementing the new operational methods, including timelines, resource requirements, and contingency plans.",Manipulation_Execution,Cognitive,-1,LLM,0.9972,0.9972,0.0003,0.0007,0.0019
4.A.2.b.1.I04.D03,7,"Present the proposed operational methods and implementation plan to stakeholders (production team, management, safety personnel), addressing questions and concerns.",Intent_Communication,Cognitive,-1,LLM,0.9883,0.9883,0.0053,0.0039,0.0025
4.A.2.b.1.I04.D03,8,"Implement the new operational methods, providing comprehensive training to all team members and ensuring adherence to safety protocols.",Manipulation_Execution,Physical,-1,LLM,0.9542,0.9542,0.0121,0.0091,0.0246
4.A.2.b.1.I04.D03,9,"Monitor the performance of the new operational methods, collecting data on efficiency, throughput, quality, and safety.",Feedback_Verification,Physical,-1,LLM,0.7412,0.7412,0.256,0.001,0.0018
4.A.2.b.1.I04.D03,10,Analyze the collected data to evaluate the effectiveness of the new operational methods and identify areas for further refinement.,Feedback_Verification,Cognitive,17,LLM,0.9573,0.9573,0.0421,0.0002,0.0004
4.A.1.a.2.I02.D03,1,"Review relevant documentation: production schedule, quality checklists, safety protocols, previous reports.",Intent_Communication,Cognitive,-1,LLM,0.8557,0.8557,0.1355,0.0017,0.0072
4.A.1.a.2.I02.D03,2,"Navigate to the designated monitoring location (control room, production line, etc.).",Navigation_Addressing,Physical,25,Multimodal_Perception,0.9647,0.0158,0.9647,0.0177,0.0019
4.A.1.a.2.I02.D03,3,"Activate monitoring systems and tools: sensors, cameras, data dashboards, diagnostic equipment.",Navigation_Addressing,Physical,-1,Multimodal_Perception,0.7837,0.2071,0.7837,0.0064,0.0027
4.A.1.a.2.I02.D03,4,"Observe real-time data feeds: sensor readings, video streams, audio, production metrics.",Perception_Diagnosis,Cognitive,-1,Multimodal_Perception,0.7608,0.2276,0.7608,0.0077,0.0039
4.A.1.a.2.I02.D03,5,"Conduct targeted inspections: visually examine components, machinery, work areas for defects or hazards.",Perception_Diagnosis,Physical,-1,Multimodal_Perception,0.8603,0.1184,0.8603,0.0164,0.0048
4.A.1.a.2.I02.D03,6,"Record observations and data: document anomalies, defects, potential risks, and corrective actions taken.",Feedback_Verification,Cognitive,-1,LLM,0.8738,0.8738,0.1135,0.0006,0.0121
4.A.1.a.2.I02.D03,7,"Communicate findings: report issues to relevant personnel (supervisors, maintenance teams, quality control) and escalate critical concerns.",Intent_Communication,Cognitive,18,LLM,0.6985,0.6985,0.1488,0.0243,0.1283
4.A.1.a.2.I02.D03,8,Analyze trends and patterns: review historical data and identify recurring issues or areas for improvement.,Perception_Diagnosis,Cognitive,17,LLM,0.9989,0.9989,0.0006,0.0,0.0005
4.A.1.a.2.I02.D03,9,"Propose solutions and implement corrective actions: recommend changes to processes, procedures, or equipment to prevent future issues.",Manipulation_Execution,Cognitive,-1,LLM,0.9246,0.9246,0.0145,0.0104,0.0505
4.A.2.a.1.I03.D01,1,"Review recent test scores, assignment grades, and any existing student profiles.",Intent_Communication,Cognitive,23,LLM,0.8649,0.8649,0.1068,0.0022,0.0261
4.A.2.a.1.I03.D01,2,"Observe students during class activities, noting engagement, participation, and any apparent struggles.",Perception_Diagnosis,Cognitive,23,LLM,0.4693,0.4693,0.4194,0.0062,0.1051
4.A.2.a.1.I03.D01,3,"Conduct individual or small group interviews with students to understand their learning preferences, challenges, and goals.",Intent_Communication,Cognitive,23,LLM,0.813,0.813,0.0131,0.0022,0.1717
4.A.2.a.1.I03.D01,4,"Analyze observational notes, interview feedback, and academic data to identify patterns, strengths, and areas for improvement for each student.",Perception_Diagnosis,Cognitive,23,LLM,0.9706,0.9706,0.0172,0.0005,0.0118
4.A.2.a.1.I03.D01,5,"Develop personalized learning plans outlining specific strategies, resources, and accommodations to address each student's unique needs.",Manipulation_Execution,Cognitive,23,LLM,0.8694,0.8694,0.0022,0.0104,0.1181
4.A.2.a.1.I03.D01,6,"Communicate the personalized learning plans to students and their parents/guardians, inviting their input and collaboration.",Intent_Communication,Cognitive,23,LLM,0.7684,0.7684,0.0019,0.0051,0.2246
4.A.2.a.1.I03.D01,7,"Implement the personalized learning plans, adjusting teaching methods and providing ongoing support as needed.",Manipulation_Execution,Physical & Cognitive,23,LLM,0.8753,0.8753,0.0005,0.0022,0.122
4.A.2.a.1.I03.D01,8,"Regularly monitor student progress, track the effectiveness of interventions, and make adjustments to learning plans as necessary.",Feedback_Verification,Cognitive,23,LLM,0.8656,0.8656,0.0163,0.0037,0.1144
4.A.2.b.2.I23.D06,1,Review existing literature on the chosen environmental topic to identify knowledge gaps and formulate preliminary research questions.,Intent_Communication,Cognitive,13,LLM,0.9715,0.9715,0.007,0.0012,0.0203
4.A.2.b.2.I23.D06,2,"Define specific, measurable, achievable, relevant, and time-bound (SMART) research objectives based on the identified knowledge gaps.",Intent_Communication,Cognitive,17,LLM,0.9897,0.9897,0.0038,0.0005,0.006
4.A.2.b.2.I23.D06,3,Identify the specific geographic area and environmental factors to be studied.,Navigation_Addressing,Cognitive,13,LLM,0.9215,0.9215,0.0491,0.0153,0.014
4.A.2.b.2.I23.D06,4,"Design a sampling strategy, including the selection of sampling sites, frequency, and methods for data collection.",Perception_Diagnosis,Cognitive,19,LLM,0.9959,0.9959,0.0013,0.0018,0.0011
4.A.2.b.2.I23.D06,5,"Outline the methodology for data analysis, including statistical methods and software requirements.",Manipulation_Execution,Cognitive,17,LLM,0.9983,0.9983,0.0007,0.0,0.001
4.A.2.b.2.I23.D06,6,"Develop a detailed timeline for the research project, including fieldwork, laboratory analysis, data processing, and reporting.",Manipulation_Execution,Cognitive,17,LLM,0.9982,0.9982,0.0005,1e-04,0.0011
4.A.2.b.2.I23.D06,7,"Estimate the budget required for the research project, including personnel, equipment, consumables, travel, and permits.",Manipulation_Execution,Cognitive,0,LLM,0.9934,0.9934,0.0015,0.0006,0.0046
4.A.2.b.2.I23.D06,8,"Draft a comprehensive research proposal, including introduction, methodology, timeline, budget, ethical considerations, and references.",Feedback_Verification,Cognitive,17,LLM,0.9567,0.9567,1e-04,0.0,0.0431
4.A.2.b.2.I23.D06,9,Submit the research proposal to relevant funding bodies and academic journals.,Feedback_Verification,Physical,-1,LLM,0.9112,0.9112,0.0015,0.0047,0.0825
4.A.2.b.2.I23.D06,10,Receive feedback on the proposal and make necessary revisions.,Feedback_Verification,Cognitive,-1,LLM,0.7713,0.7713,0.0003,0.0033,0.2252
4.A.2.a.3.I02.D02,1,"Review relevant environmental regulations, ISO 14001 standards, and the company's internal policies and procedures related to green operations.",Intent_Communication,Cognitive,13,LLM,0.9866,0.9866,0.0057,0.0003,0.0073
4.A.2.a.3.I02.D02,2,"Conduct a walkthrough of the manufacturing plant, focusing on key operational areas and data sources related to energy consumption, waste management, emissions, and green supply chain practices.",Navigation_Addressing,Physical,13,LLM,0.9284,0.9284,0.0629,0.007,0.0017
4.A.2.a.3.I02.D02,3,"Collect data on energy consumption, waste generation, emissions, and green supply chain practices from various sources, including meters, reports, and documentation.",Perception_Diagnosis,Physical,13,LLM,0.9822,0.9822,0.0132,0.0033,0.0014
4.A.2.a.3.I02.D02,4,"Interview plant personnel involved in green operations, including supervisors, operators, and waste management staff, to gather insights into their practices and challenges.",Intent_Communication,Cognitive,-1,LLM,0.9133,0.9133,0.0252,0.008,0.0536
4.A.2.a.3.I02.D02,5,Analyze the collected data and interview responses to identify any discrepancies or non-compliance issues compared to the established standards and regulations.,Perception_Diagnosis,Cognitive,17,LLM,0.9843,0.9843,0.0105,0.0,0.0051
4.A.2.a.3.I02.D02,6,"Document all findings, including specific instances of compliance and non-compliance, supported by evidence from observations, interviews, and documentation review.",Feedback_Verification,Cognitive,17,LLM,0.9459,0.9459,0.0032,0.0002,0.0507
4.A.2.a.3.I02.D02,7,"Develop concrete recommendations for improvement, addressing identified areas of non-compliance and suggesting best practices for enhancing the green operations program's effectiveness.",Manipulation_Execution,Cognitive,-1,LLM,0.9891,0.9891,0.0006,0.0012,0.0091
4.A.2.a.3.I02.D02,8,"Prepare a comprehensive report summarizing the evaluation findings, compliance status, and recommendations for plant management.",Manipulation_Execution,Cognitive,-1,LLM,0.9957,0.9957,0.0009,1e-04,0.0033
4.A.2.a.3.I02.D02,9,"Present the report to plant management, discuss the findings, and answer any questions they may have regarding the assessment and recommended improvements.",Feedback_Verification,Cognitive,-1,LLM,0.9796,0.9796,0.0061,0.0005,0.0138
4.A.4.a.5.I10.D07,1,Greet the patron and inquire about their research topic or specific document needs.,Intent_Communication,Cognitive,3,Human_Bound,0.5513,0.3981,0.0126,0.0381,0.5513
4.A.4.a.5.I10.D07,2,"Clarify the patron's request by asking about time period, document types, or specific areas of interest.",Intent_Communication,Cognitive,-1,LLM,0.5516,0.5516,0.0059,0.0057,0.4368
4.A.4.a.5.I10.D07,3,Utilize the library's online catalog or archival database to search for relevant resources.,Navigation_Addressing,Cognitive,-1,LLM,0.6661,0.6661,0.1901,0.0905,0.0533
4.A.4.a.5.I10.D07,4,Identify and select the most appropriate resources based on the patron's needs and availability.,Perception_Diagnosis,Cognitive,21,LLM,0.9595,0.9595,0.0005,0.0015,0.0385
4.A.4.a.5.I10.D07,5,"Retrieve physical resources from storage shelves, handling them carefully to prevent damage.",Manipulation_Execution,Physical,28,Embodied,0.8744,0.0472,0.0752,0.8744,0.0031
4.A.4.a.5.I10.D07,6,Guide the patron to a suitable workspace and demonstrate how to access and use the selected resources.,Manipulation_Execution,Physical,-1,LLM,0.7593,0.7593,0.0141,0.0438,0.1828
4.A.4.a.5.I10.D07,7,Confirm the patron understands how to use the resources and offer further assistance if needed.,Feedback_Verification,Cognitive,-1,Human_Bound,0.5745,0.3772,0.0165,0.0318,0.5745
4.A.1.b.2.I10.D03,1,Retrieve the digital manifest for the shipment from the warehouse management system.,Intent_Communication,Cognitive,28,Embodied,0.8647,0.0524,0.0761,0.8647,0.0068
4.A.1.b.2.I10.D03,2,Navigate to the designated area where the shipment is located.,Navigation_Addressing,Physical,28,Embodied,0.9752,0.0085,0.0146,0.9752,0.0018
4.A.1.b.2.I10.D03,3,Identify the shipment based on the manifest details.,Perception_Diagnosis,Cognitive,28,Embodied,0.5416,0.3357,0.1115,0.5416,0.0112
4.A.1.b.2.I10.D03,4,Open each box and scan the barcode of each item.,Perception_Diagnosis,Physical,28,Embodied,0.5651,0.0605,0.3726,0.5651,0.0018
4.A.1.b.2.I10.D03,5,Compare the scanned item data with the manifest.,Feedback_Verification,Cognitive,28,Multimodal_Perception,0.9028,0.0479,0.9028,0.0464,0.0029
4.A.1.b.2.I10.D03,6,Note any discrepancies and their details.,Intent_Communication,Cognitive,-1,LLM,0.7961,0.7961,0.1509,0.0027,0.0502
4.A.1.b.2.I10.D03,7,Report any discrepancies to the supervisor or relevant department.,Intent_Communication,Cognitive,18,Human_Bound,0.4692,0.2965,0.2087,0.0256,0.4692
4.A.1.b.2.I10.D03,8,Mark the shipment as inspected in the system.,Manipulation_Execution,Physical,28,Embodied,0.8377,0.0857,0.0521,0.8377,0.0246
4.A.3.b.6.I14.D05,1,Review relevant regulatory requirements and guidelines for the specific type of documentation needed.,Intent_Communication,Cognitive,14,LLM,0.9478,0.9478,0.0014,0.0003,0.0505
4.A.3.b.6.I14.D05,2,"Gather all necessary data and information from relevant departments (R&D, production, legal, etc.).",Navigation_Addressing,Physical,-1,LLM,0.9951,0.9951,0.0005,0.0008,0.0036
4.A.3.b.6.I14.D05,3,"Verify the accuracy, completeness, and compliance of the gathered data.",Perception_Diagnosis,Cognitive,16,LLM,0.9336,0.9336,0.056,0.0004,0.0101
4.A.3.b.6.I14.D05,4,Draft the initial sections of the documentation based on the gathered and verified data.,Manipulation_Execution,Cognitive,-1,LLM,0.9969,0.9969,0.0002,1e-04,0.0028
4.A.3.b.6.I14.D05,5,"Consult with relevant experts (legal counsel, subject matter experts) for review and feedback.",Intent_Communication,Cognitive,-1,Human_Bound,0.5078,0.4907,0.0013,0.0002,0.5078
4.A.3.b.6.I14.D05,6,"Revise and finalize the documentation based on expert feedback, ensuring accuracy and compliance.",Manipulation_Execution,Cognitive,-1,LLM,0.9584,0.9584,0.0008,0.0005,0.0404
4.A.3.b.6.I14.D05,7,"Conduct a final review for completeness, accuracy, and adherence to formatting guidelines.",Feedback_Verification,Cognitive,14,LLM,0.9077,0.9077,0.0044,0.0004,0.0875
4.A.3.b.6.I14.D05,8,Submit the finalized documentation to the appropriate regulatory body through their designated channels.,Intent_Communication,Physical,-1,LLM,0.6419,0.6419,0.0007,0.01,0.3474
4.A.3.a.1.I05.D01,1,"Don appropriate personal protective equipment (PPE), including gloves, a lab coat, and safety goggles.",Navigation_Addressing,Physical,5,Multimodal_Perception,0.4763,0.0292,0.4763,0.4324,0.062
4.A.3.a.1.I05.D01,2,"Identify and segregate biomedical waste into appropriate containers (sharps, biohazard bags) based on type.",Perception_Diagnosis,Cognitive,8,Embodied,0.6786,0.2346,0.0738,0.6786,0.013
4.A.3.a.1.I05.D01,3,"Securely close and seal all waste containers, ensuring puncture-resistance for sharps containers.",Manipulation_Execution,Physical,8,Embodied,0.8285,0.08,0.067,0.8285,0.0244
4.A.3.a.1.I05.D01,4,"Label each container with the required information (date, type of waste) following facility protocols.",Manipulation_Execution,Physical,8,LLM,0.9453,0.9453,0.0175,0.0339,0.0033
4.A.3.a.1.I05.D01,5,Transport the sealed and labeled containers to the designated biomedical waste storage area.,Navigation_Addressing,Physical,8,Embodied,0.9244,0.0465,0.0056,0.9244,0.0236
4.A.3.a.1.I05.D01,6,"Place the containers in the designated storage area, adhering to any specific arrangement or protocols.",Manipulation_Execution,Physical,8,Embodied,0.9855,0.0104,0.0029,0.9855,0.0012
4.A.3.a.1.I05.D01,7,"Log the disposal in the facility's waste management system, recording relevant details for compliance and tracking.",Feedback_Verification,Cognitive,8,LLM,0.9388,0.9388,0.035,0.0089,0.0173
4.A.3.a.2.I41.D04,1,Retrieve the first part and place it on the assembly fixture.,Navigation_Addressing,Physical,26,Embodied,0.9721,0.0009,0.0242,0.9721,0.0028
4.A.3.a.2.I41.D04,2,Inspect the part for any visible defects or misalignments.,Perception_Diagnosis,Cognitive,34,Multimodal_Perception,0.999,1e-04,0.999,0.0009,0.0
4.A.3.a.2.I41.D04,3,Retrieve the second part and align it with the first part using reference marks.,Navigation_Addressing,Physical,26,Embodied,0.7491,0.1447,0.0622,0.7491,0.044
4.A.3.a.2.I41.D04,4,Verify the alignment of the two parts using measuring tools and make adjustments as needed.,Feedback_Verification,Cognitive & Physical,-1,Multimodal_Perception,0.5948,0.0014,0.5948,0.4015,0.0023
4.A.3.a.2.I41.D04,5,Secure the second part in place using clamps or temporary fasteners.,Manipulation_Execution,Physical,26,Embodied,0.9884,0.0005,0.0073,0.9884,0.0039
4.A.3.a.2.I41.D04,6,Repeat steps 3-5 for any remaining parts.,"Navigation_Addressing, Feedback_Verification, Manipulation_Execution",Cognitive & Physical,9,Embodied,0.885,0.0889,0.0199,0.885,0.0062
4.A.3.a.2.I41.D04,7,Conduct a final inspection of the assembled parts for any misalignments or gaps.,Feedback_Verification,Cognitive,-1,Multimodal_Perception,0.9773,0.0047,0.9773,0.0175,0.0004
4.A.3.a.2.I41.D04,8,Finalize the assembly by removing temporary fasteners and securing parts with permanent fasteners.,Manipulation_Execution,Physical,26,Embodied,0.9743,0.0016,0.0231,0.9743,0.001
4.A.1.b.2.I06.D03,1,Retrieve the workpiece from the production line.,Navigation_Addressing,Physical,26,Embodied,0.8345,0.0078,0.1529,0.8345,0.0047
4.A.1.b.2.I06.D03,2,Review relevant quality standards and inspection criteria for the workpiece's finish.,Intent_Communication,Cognitive,-1,Multimodal_Perception,0.6554,0.3217,0.6554,0.0079,0.015
4.A.1.b.2.I06.D03,3,Position the workpiece under adequate lighting for visual inspection.,Navigation_Addressing,Physical,-1,Multimodal_Perception,0.9856,0.0005,0.9856,0.0135,0.0003
4.A.1.b.2.I06.D03,4,"Visually inspect the workpiece's surface for defects such as scratches, dents, or inconsistencies in color or sheen.",Perception_Diagnosis,Cognitive,26,Multimodal_Perception,0.9983,0.001,0.9983,0.0006,1e-04
4.A.1.b.2.I06.D03,5,Utilize magnification tools (if necessary) for closer examination of specific areas.,Perception_Diagnosis,Physical,26,Multimodal_Perception,0.7718,0.0016,0.7718,0.2218,0.0048
4.A.1.b.2.I06.D03,6,"Document any identified defects, noting their type, location, and severity.",Feedback_Verification,Cognitive,18,LLM,0.6431,0.6431,0.3519,0.0012,0.0038
4.A.1.b.2.I06.D03,7,Compare documented defects against the established quality standards to determine if the workpiece passes or fails inspection.,Feedback_Verification,Cognitive,-1,Multimodal_Perception,0.9662,0.0322,0.9662,0.0003,0.0012
4.A.1.b.2.I06.D03,8,Segregate the workpiece accordingly (pass or fail) and return it to the production line or designated area.,Navigation_Addressing,Physical,26,Embodied,0.7329,0.0161,0.2424,0.7329,0.0085
4.A.4.b.3.I02.D12,1,Review the course syllabus and learning objectives to understand the semester's requirements and plan lecture topics.,Intent_Communication,Cognitive,23,LLM,0.9765,0.9765,0.0096,0.0036,0.0103
4.A.4.b.3.I02.D12,2,"Prepare detailed lecture notes, slides, and relevant examples for each topic, incorporating interactive elements.",Intent_Communication,Cognitive,23,LLM,0.9651,0.9651,0.0131,0.0113,0.0105
4.A.4.b.3.I02.D12,3,"Set up the classroom environment, ensuring necessary technology (projector, whiteboard) is functional and teaching aids are ready.",Navigation_Addressing,Physical,23,LLM,0.8669,0.8669,0.0174,0.0758,0.0399
4.A.4.b.3.I02.D12,4,"Deliver the lecture, explaining concepts, working through examples, and encouraging student questions and participation.",Manipulation_Execution,Cognitive & Physical,23,LLM,0.8363,0.8363,0.0115,0.0219,0.1303
4.A.4.b.3.I02.D12,5,"Assign in-class exercises or problems for students to work on individually or in groups, providing guidance and support.",Manipulation_Execution,Cognitive & Physical,23,LLM,0.7671,0.7671,0.0084,0.0298,0.1946
4.A.4.b.3.I02.D12,6,"Monitor student progress during exercises, addressing questions and clarifying concepts as needed.",Perception_Diagnosis,Cognitive,23,LLM,0.8049,0.8049,0.0523,0.0043,0.1384
4.A.4.b.3.I02.D12,7,"Conclude the lecture by summarizing key points, assigning homework, and providing clear expectations for the next class.",Feedback_Verification,Cognitive,23,LLM,0.8676,0.8676,0.0154,0.0327,0.0843
4.A.4.b.3.I02.D12,8,"Grade homework assignments and provide constructive feedback to students, highlighting areas for improvement.",Feedback_Verification,Cognitive,23,LLM,0.9661,0.9661,0.005,0.0012,0.0278
4.A.4.b.3.I02.D12,9,"Periodically assess student understanding through quizzes or exams, adjusting teaching strategies based on results.",Feedback_Verification,Cognitive,23,LLM,0.8268,0.8268,0.0884,0.004,0.0808
4.A.3.a.3.I01.D01,1,Approach the MFP and ensure it is powered on.,Navigation_Addressing,Physical,34,Multimodal_Perception,0.9549,0.0068,0.9549,0.0339,0.0044
4.A.3.a.3.I01.D01,2,Load paper into the MFP's paper tray and ensure proper alignment.,Manipulation_Execution,Physical,-1,Embodied,0.7632,0.0208,0.2118,0.7632,0.0041
4.A.3.a.3.I01.D01,3,"Select the desired function (Print, Scan, Fax) on the MFP's interface.",Intent_Communication,Cognitive,-1,Multimodal_Perception,0.5927,0.2434,0.5927,0.1194,0.0445
4.A.3.a.3.I01.D01,4,"Input document (via USB, network, or document feeder) based on the selected function.",Navigation_Addressing,Physical,15,LLM,0.6689,0.6689,0.0752,0.0623,0.1936
4.A.3.a.3.I01.D01,5,"Configure function-specific settings (copies, page range, scan resolution, fax number).",Perception_Diagnosis,Cognitive,-1,LLM,0.4316,0.4316,0.3594,0.1061,0.1029
4.A.3.a.3.I01.D01,6,"Initiate the selected function (Print, Scan, Fax).",Manipulation_Execution,Physical,15,Multimodal_Perception,0.5348,0.2509,0.5348,0.0877,0.1266
4.A.3.a.3.I01.D01,7,"Monitor the MFP for errors, jams, or completion status.",Feedback_Verification,Cognitive,-1,Multimodal_Perception,0.9265,0.069,0.9265,0.001,0.0035
4.A.3.a.3.I01.D01,8,"Retrieve the output (printed document, scanned file, fax confirmation).",Manipulation_Execution,Physical,15,Multimodal_Perception,0.4718,0.3422,0.4718,0.0481,0.1379
4.A.4.a.2.I07.D02,1,Review regional workforce data and identify key skill gaps to inform educational needs.,Perception_Diagnosis,Cognitive,23,LLM,0.9397,0.9397,0.0222,0.0028,0.0353
4.A.4.a.2.I07.D02,2,"Schedule a meeting with representatives from relevant agencies and institutions (e.g., school district, community college, university).",Intent_Communication,Cognitive,-1,LLM,0.809,0.809,0.0006,0.0038,0.1866
4.A.4.a.2.I07.D02,3,Present the identified skill gaps and propose potential program adjustments during the meeting.,Intent_Communication,Cognitive,23,LLM,0.9361,0.9361,0.0027,0.0008,0.0604
4.A.4.a.2.I07.D02,4,"Facilitate a discussion among participants to gather feedback, address concerns, and negotiate compromises.",Intent_Communication,Cognitive,-1,LLM,0.6155,0.6155,0.0003,0.0003,0.3839
4.A.4.a.2.I07.D02,5,Draft a memorandum of understanding (MOU) incorporating the agreed-upon program adjustments.,Manipulation_Execution,Cognitive,-1,LLM,0.9172,0.9172,0.0002,0.0008,0.0818
4.A.4.a.2.I07.D02,6,Circulate the MOU for review and signature by all participating parties.,Intent_Communication,Cognitive,-1,Human_Bound,0.5233,0.471,0.0002,0.0055,0.5233
4.A.4.a.2.I07.D02,7,"File the signed MOU, marking the successful completion of the coordination effort.",Feedback_Verification,Physical,-1,Human_Bound,0.7629,0.2139,0.001,0.0222,0.7629
4.A.2.b.2.I14.D05,1,"Review the production equipment's specifications, the manufacturing process, and the target part's design.",Intent_Communication,Cognitive,-1,Multimodal_Perception,0.5716,0.4158,0.5716,0.0101,0.0025
4.A.2.b.2.I14.D05,2,Identify the key challenges in producing the part and the critical dimensions and features requiring securement.,Perception_Diagnosis,Cognitive,27,LLM,0.8207,0.8207,0.071,0.0906,0.0178
4.A.2.b.2.I14.D05,3,"Conceptualize fixture designs, considering part geometry, machine capabilities, and ergonomic factors.",Manipulation_Execution,Cognitive,-1,Multimodal_Perception,0.6513,0.2481,0.6513,0.0897,0.0109
4.A.2.b.2.I14.D05,4,"Select the most promising fixture design based on feasibility, efficiency, and safety considerations.",Intent_Communication,Cognitive,-1,Multimodal_Perception,0.546,0.3788,0.546,0.0587,0.0164
4.A.2.b.2.I14.D05,5,"Create a detailed 3D CAD model of the selected fixture design, specifying dimensions, materials, and tolerances.",Manipulation_Execution,Physical,-1,LLM,0.4341,0.4341,0.2483,0.3011,0.0166
4.A.2.b.2.I14.D05,6,"Simulate the fixture's performance in the CAD software, verifying part security, alignment, and machining accessibility.",Feedback_Verification,Cognitive,-1,Multimodal_Perception,0.9497,0.0238,0.9497,0.0243,0.0023
4.A.2.b.2.I14.D05,7,Refine the CAD model based on simulation results and feedback from manufacturing experts.,Manipulation_Execution,Physical,-1,LLM,0.7332,0.7332,0.2274,0.032,0.0074
4.A.2.b.2.I14.D05,8,"Generate final 2D and 3D drawings of the fixture design, including material specifications and manufacturing notes.",Feedback_Verification,Cognitive,-1,LLM,0.6865,0.6865,0.2718,0.0374,0.0044
4.A.3.a.1.I11.D12,1,Review security log for recent access attempts and prioritize patrol route.,Intent_Communication,Cognitive,2,LLM,0.5824,0.5824,0.3289,0.0531,0.0357
4.A.3.a.1.I11.D12,2,"Patrol perimeter and entry points, systematically checking for breaches or suspicious activity.",Navigation_Addressing,Physical,2,LLM,0.4917,0.4917,0.308,0.1382,0.0621
4.A.3.a.1.I11.D12,3,"Challenge individuals attempting entry, verifying credentials and purpose.",Intent_Communication,Cognitive,2,LLM,0.7391,0.7391,0.0549,0.0287,0.1773
4.A.3.a.1.I11.D12,4,"Deny entry to unauthorized individuals, explaining reason and contacting supervisor if necessary.",Manipulation_Execution,Cognitive,2,Human_Bound,0.4625,0.3386,0.0533,0.1455,0.4625
4.A.3.a.1.I11.D12,5,"Investigate any signs of unauthorized entry, securing the area and documenting findings.",Perception_Diagnosis,Physical,2,LLM,0.5717,0.5717,0.1088,0.1383,0.1813
4.A.3.a.1.I11.D12,6,Log all incidents and patrol activities in security system.,Feedback_Verification,Cognitive,2,LLM,0.7117,0.7117,0.2677,0.0078,0.0128
4.A.1.a.2.I08.D02,1,"Log into relevant trend analysis platforms (e.g., industry databases, social media monitoring tools, news aggregators).",Intent_Communication,Physical,17,LLM,0.9643,0.9643,0.0315,0.0005,0.0037
4.A.1.a.2.I08.D02,2,"Define specific keywords, topics, or industries relevant to the monitoring task.",Navigation_Addressing,Cognitive,17,LLM,0.9671,0.9671,0.0309,1e-04,0.0019
4.A.1.a.2.I08.D02,3,Utilize platform filters and search functions to gather relevant data based on defined keywords and timeframe.,Navigation_Addressing,Physical,17,LLM,0.9958,0.9958,0.0025,0.0002,0.0014
4.A.1.a.2.I08.D02,4,"Analyze collected data for recurring themes, sentiment, and emerging patterns.",Perception_Diagnosis,Cognitive,17,LLM,0.9926,0.9926,0.0042,0.0002,0.003
